recipe_id,recipe_name,replaced_food_id,replaced_food_name,replaced_food_quatity,subsitude_food_id,substitude_food_name,substitude_food_quantity
"""523""","""Quick Spanish Rice""","""4228""",""" lean ground lamb """,75.83333333333333,"""4152""",""" taco """,88.42105263157899
"""520""","""Lamb Stew Provencal""","""166""",""" beef broth """,20.0,"""4091""",""" cond. black bean soup """,18.124999999999993
"""520""","""Lamb Stew Provencal""","""166""",""" beef broth """,20.0,"""4114""",""" cond. tomato rice soup """,18.124999999999993
"""531""","""Lamb Tortellini Minestrone""","""4228""",""" lean ground lamb """,56.875,"""4151""",""" cheese enchilada """,44.29573170731707
"""539""","""California Beef and Black Bean Chili""","""264""",""" beef top round """,75.83333333333333,"""4152""",""" taco """,61.51315789473682
"""548""","""Soft Taco""","""262""",""" boneless beef sirloin """,58.0,"""4152""",""" taco """,64.73684210526315
"""557""","""Meatball-Rice Soup""","""166""",""" beef broth """,320.0,"""311""",""" bouillon cube """,371.875
"""557""","""Meatball-Rice Soup""","""166""",""" beef broth """,320.0,"""346""",""" broth or low-sodium bouillon """,371.875
"""557""","""Meatball-Rice Soup""","""166""",""" beef broth """,320.0,"""4108""",""" cond. onion soup """,322.29166666666674
"""557""","""Meatball-Rice Soup""","""166""",""" beef broth """,320.0,"""4109""",""" cond. cream of onion soup """,402.86458333333337
"""557""","""Meatball-Rice Soup""","""166""",""" beef broth """,320.0,"""4119""",""" tomato bisque soup """,371.875
"""562""","""Rigatoni in Wild Mushroom Broth""","""660""",""" chicken stock """,160.0,"""311""",""" bouillon cube """,132.69230769230768
"""562""","""Rigatoni in Wild Mushroom Broth""","""660""",""" chicken stock """,160.0,"""346""",""" broth or low-sodium bouillon """,132.69230769230768
"""562""","""Rigatoni in Wild Mushroom Broth""","""660""",""" chicken stock """,160.0,"""451""",""" canned cream of celery soup """,156.8181818181818
"""562""","""Rigatoni in Wild Mushroom Broth""","""660""",""" chicken stock """,160.0,"""4108""",""" cond. onion soup """,115.00000000000001
"""562""","""Rigatoni in Wild Mushroom Broth""","""660""",""" chicken stock """,160.0,"""4109""",""" cond. cream of onion soup """,143.75
"""562""","""Rigatoni in Wild Mushroom Broth""","""660""",""" chicken stock """,160.0,"""4119""",""" tomato bisque soup """,132.69230769230768
"""565""","""Sweet Potato-Sausage Casserole""","""2007""",""" lean sausage meat """,75.83333333333333,"""4152""",""" taco """,74.73684210526318
