recipe_id,recipe_name,replaced_food_id,replaced_food_name,replaced_food_quantity,subsitute_food_id,substitute_food_name,substitute_food_quantity
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""136""",""" barley malt syrup """,3.3802816901408455
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""554""",""" capers """,3.5820895522388057
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""622""",""" chestnut honey """,4.705882352941177
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""992""",""" dark barley miso """,4.444444444444444
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""1716""",""" guacamole """,3.5820895522388057
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""2101""",""" loganberry preserves """,4.528301886792453
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""2799""",""" raspberry preserves """,4.8
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""3088""",""" sesame paste """,4.363636363636363
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""3089""",""" sesame paste or peanut butter """,4.363636363636363
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""3124""",""" Sicilian or Spanish olive """,3.5820895522388057
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""3209""",""" small ripe pitted olives """,3.5820895522388057
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""3408""",""" tandoori paste """,4.067796610169491
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""3578""",""" unsulphured molasses """,3.5820895522388057
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""3689""",""" white miso """,4.444444444444444
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""4317""",""" miso """,4.444444444444444
"""455""","""Tomato Stuffed Potatoes""","""113""",""" bacon bits """,3.75,"""4336""",""" red miso """,4.444444444444444
"""1131""",""" Fish Baked with Summer Squash, Onion and Herbs ""","""3682""",""" white fish fillet """,113.75,"""155""",""" bean curd """,119.7
"""1167""","""Spanish Clams and Rice""","""750""",""" clam broth """,80.0,"""249""",""" boiling water """,75.51973684210525
"""1167""","""Spanish Clams and Rice""","""750""",""" clam broth """,80.0,"""713""",""" chocolate shake """,89.67968749999997
"""1167""","""Spanish Clams and Rice""","""750""",""" clam broth """,80.0,"""1197""",""" espresso beans """,57.39499999999998
"""1167""","""Spanish Clams and Rice""","""750""",""" clam broth """,80.0,"""4384""",""" boiling salted water """,75.51973684210525
"""1167""","""Spanish Clams and Rice""","""750""",""" clam broth """,80.0,"""4462""",""" Kahlua """,57.39499999999998
"""1167""","""Spanish Clams and Rice""","""750""",""" clam broth """,80.0,"""4615""",""" bitters """,75.51973684210525
