recipe_id,recipe_name,replaced_food_id,replaced_food_name,replaced_food_quantity,subsitute_food_id,substitute_food_name,substitute_food_quantity
"""567""","""Oriental Pork and Beans""","""2005""",""" lean pork """,29.0,"""1065""",""" dried frozen tofu """,25.55634328358209
"""519""","""Steak and Pepper Sandwiches""","""180""",""" beef round tip steak """,113.75,"""3429""",""" tempeh """,89.66562499999999
"""568""","""Southwestern Black Beans and Rice""","""1734""",""" ham """,60.0,"""155""",""" bean curd """,69.97235872235872
"""568""","""Southwestern Black Beans and Rice""","""1734""",""" ham """,60.0,"""4149""",""" cheese and bean burrito """,46.68647540983606
"""525""","""Quick Lamb and Pasta Dinner Skillet""","""257""",""" boneless American lamb shoulder """,75.83333333333333,"""1065""",""" dried frozen tofu """,66.37313432835822
"""534""","""Baja Beef and Pistachio Plate""","""2001""",""" lean ground round """,113.75,"""3429""",""" tempeh """,106.0686328125
"""534""","""Baja Beef and Pistachio Plate""","""2001""",""" lean ground round """,113.75,"""4151""",""" cheese enchilada """,82.98768337408313
"""534""","""Baja Beef and Pistachio Plate""","""2001""",""" lean ground round """,113.75,"""4152""",""" taco """,85.49612720403023
"""540""","""Spinach Salad with Fruit and Beef""","""192""",""" beef top round steak """,113.75,"""4149""",""" cheese and bean burrito """,143.6993545081967
"""557""","""Meatball-Rice Soup""","""175""",""" Beef Ground Round """,56.875,"""4149""",""" cheese and bean burrito """,54.01985655737705
"""563""","""Mushroom and Beef Stir-Up""","""1259""",""" flank steak """,58.0,"""4151""",""" cheese enchilada """,60.3945599022005
"""563""","""Mushroom and Beef Stir-Up""","""1259""",""" flank steak """,58.0,"""4152""",""" taco """,62.22008816120908
"""574""","""Five-Spice Fried Rice""","""262""",""" boneless beef sirloin """,75.075,"""1065""",""" dried frozen tofu """,71.55000000000001
"""578""","""Hot Hoppin' John Salad""","""1734""",""" ham """,40.0,"""4149""",""" cheese and bean burrito """,43.58265027322405
"""599""","""Noodle-Crusted Quiche Noel""","""1995""",""" lean cooked ham """,30.0,"""3429""",""" tempeh """,30.638671875
"""599""","""Noodle-Crusted Quiche Noel""","""1995""",""" lean cooked ham """,30.0,"""4151""",""" cheese enchilada """,23.971577017114917
"""599""","""Noodle-Crusted Quiche Noel""","""1995""",""" lean cooked ham """,30.0,"""4152""",""" taco """,24.696158690176325
"""610""","""Fettuccine with Lamb and Mint""","""4228""",""" lean ground lamb """,113.75,"""1065""",""" dried frozen tofu """,82.61194029850746
"""610""","""Fettuccine with Lamb and Mint""","""4228""",""" lean ground lamb """,113.75,"""4151""",""" cheese enchilada """,135.33007334963327
"""610""","""Fettuccine with Lamb and Mint""","""4228""",""" lean ground lamb """,113.75,"""4152""",""" taco """,139.4206549118388
"""1064""","""New England Turkey Chowder""","""851""",""" cooked turkey """,120.0,"""1065""",""" dried frozen tofu """,100.48306902985074
"""1085""","""Brown Rice Chicken Bake""","""805""",""" cooked chicken breast """,80.0,"""1065""",""" dried frozen tofu """,59.058084577114435
"""1085""","""Brown Rice Chicken Bake""","""805""",""" cooked chicken breast """,80.0,"""4151""",""" cheese enchilada """,96.74551752241241
"""1085""","""Brown Rice Chicken Bake""","""805""",""" cooked chicken breast """,80.0,"""4152""",""" taco """,99.66981528127626
"""1106""","""Turkey Medallions Piccata""","""3550""",""" turkey tenderloin """,113.75,"""155""",""" bean curd """,137.8992628992629
"""1106""","""Turkey Medallions Piccata""","""3550""",""" turkey tenderloin """,113.75,"""4149""",""" cheese and bean burrito """,92.00819672131149
"""1112""","""Turkey Tarragon Pitas""","""852""",""" cooked turkey breast """,120.0,"""155""",""" bean curd """,95.48909705159706
"""1138""","""Sandlapper Salad""","""816""",""" cooked fish """,60.0,"""3429""",""" tempeh """,52.87499999999999
"""1138""","""Sandlapper Salad""","""816""",""" cooked fish """,60.0,"""4152""",""" taco """,42.61964735516372
"""1117""","""Sesame Chicken Salad""","""805""",""" cooked chicken breast """,80.0,"""3429""",""" tempeh """,93.64166666666671
"""1117""","""Sesame Chicken Salad""","""805""",""" cooked chicken breast """,80.0,"""4151""",""" cheese enchilada """,73.26487367563165
"""1117""","""Sesame Chicken Salad""","""805""",""" cooked chicken breast """,80.0,"""4152""",""" taco """,75.4794290512175
"""1119""","""Sonoma Turkey and Vegetables""","""289""",""" whole boneless turkey """,227.5,"""155""",""" bean curd """,199.477886977887
"""1128""","""Poached Fish with Horseradish Sauce""","""1379""",""" fresh or frozen fish fillet """,116.0,"""3429""",""" tempeh """,90.29687500000001
"""1133""","""Oysters on Pasta""","""2485""",""" oysters with liquid """,58.0,"""1065""",""" dried frozen tofu """,68.90982587064677
"""1135""","""Simply Snapper""","""2486""",""" Pacific snapper """,113.75,"""4149""",""" cheese and bean burrito """,136.43852459016395
"""1169""","""Chinese Seafood Salad""","""816""",""" cooked fish """,58.0,"""3429""",""" tempeh """,45.94671874999999
"""1175""","""Grilled Fish with Veracruz Sauce""","""1242""",""" firm fish fillet """,227.5,"""3429""",""" tempeh """,199.6875
"""1175""","""Grilled Fish with Veracruz Sauce""","""1242""",""" firm fish fillet """,227.5,"""4152""",""" taco """,160.95717884130985
"""1184""","""Red Snapper Orlando""","""2878""",""" red snapper fillet """,170.625,"""3429""",""" tempeh """,162.60976562500002
"""1184""","""Red Snapper Orlando""","""2878""",""" red snapper fillet """,170.625,"""4151""",""" cheese enchilada """,127.22524449877751
"""1184""","""Red Snapper Orlando""","""2878""",""" red snapper fillet """,170.625,"""4152""",""" taco """,131.07084382871537
"""1375""","""Marinated Flank Steak""","""1259""",""" flank steak """,113.75,"""4151""",""" cheese enchilada """,128.91664119804403
"""1375""","""Marinated Flank Steak""","""1259""",""" flank steak """,113.75,"""4152""",""" taco """,132.81336586901767
