recipe_id,recipe_name,replaced_food_id,replaced_food_name,replaced_food_quantity,subsitute_food_id,substitute_food_name,substitute_food_quantity
"""563""","""Mushroom and Beef Stir-Up""","""446""",""" canned condensed beef broth """,76.125,"""311""",""" bouillon cube """,65.76500000000007
"""563""","""Mushroom and Beef Stir-Up""","""446""",""" canned condensed beef broth """,76.125,"""346""",""" broth or low-sodium bouillon """,65.76500000000007
"""563""","""Mushroom and Beef Stir-Up""","""446""",""" canned condensed beef broth """,76.125,"""451""",""" canned cream of celery soup """,74.73295454545463
"""563""","""Mushroom and Beef Stir-Up""","""446""",""" canned condensed beef broth """,76.125,"""790""",""" cond. reduced-sodium tomato soup """,82.2062500000001
"""563""","""Mushroom and Beef Stir-Up""","""446""",""" canned condensed beef broth """,76.125,"""4109""",""" cond. cream of onion soup """,58.718750000000064
"""563""","""Mushroom and Beef Stir-Up""","""446""",""" canned condensed beef broth """,76.125,"""4114""",""" cond. tomato rice soup """,71.48369565217399
"""1020""","""Healthclub Chicken Salad""","""804""",""" cooked chicken """,120.0,"""4149""",""" cheese and bean burrito """,112.83333333333334
"""1020""","""Healthclub Chicken Salad""","""804""",""" cooked chicken """,120.0,"""4151""",""" cheese enchilada """,112.83333333333334
"""1070""","""Chicken Rice Medley""","""4298""",""" cooked broiler-fryer, boned, skinned """,113.75,"""4152""",""" taco """,137.4166666666669
"""1099""","""Sonoma Turkey Bouillabaisse""","""4286""",""" skinned turkey thighs """,199.0625,"""4152""",""" taco """,163.95833333333337
"""1130""","""Seafood Risotto""","""2310""",""" medium-size shrimp """,56.875,"""4149""",""" cheese and bean burrito """,46.0
"""1130""","""Seafood Risotto""","""2310""",""" medium-size shrimp """,56.875,"""4151""",""" cheese enchilada """,46.0
"""1133""","""Oysters on Pasta""","""2485""",""" oysters with liquid """,58.0,"""1065""",""" dried frozen tofu """,40.73717948717947
"""1135""","""Simply Snapper""","""2486""",""" Pacific snapper """,113.75,"""1065""",""" dried frozen tofu """,94.03846153846156
"""1151""","""Chinese Steamed Fish""","""1246""",""" firm white fish fillet """,87.0,"""4152""",""" taco """,62.5
"""1164""","""Elegant Oysters""","""2482""",""" oyster """,116.0,"""4149""",""" cheese and bean burrito """,144.60416666666657
"""1164""","""Elegant Oysters""","""2482""",""" oyster """,116.0,"""4151""",""" cheese enchilada """,144.60416666666657
"""1165""","""Seafood Jambalaya""","""3351""",""" Surimi seafood """,75.83333333333333,"""4149""",""" cheese and bean burrito """,63.075
"""1165""","""Seafood Jambalaya""","""3351""",""" Surimi seafood """,75.83333333333333,"""4151""",""" cheese enchilada """,63.075
"""1175""","""Grilled Fish with Veracruz Sauce""","""1242""",""" firm fish fillet """,227.5,"""4152""",""" taco """,199.99999999999991
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""297""",""" bottled chili sauce """,29.41176470588236
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""304""",""" bottled microwave browning sauce """,29.41176470588236
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""310""",""" bottled spaghetti sauce """,31.250000000000007
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""485""",""" canned tomato sauce, low sodium """,30.303030303030308
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""527""",""" canned tomato sauce """,45.45454545454547
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""575""",""" catsup """,38.461538461538474
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""1210""",""" fajita sauce """,47.619047619047635
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""1647""",""" green olive """,50.000000000000014
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""1777""",""" homestyle spaghetti sauce """,31.250000000000007
"""1195""","""Molded Crabmeat Mousse""","""309""",""" bottled seafood sauce """,40.0,"""1862""",""" Italian tomato sauce """,29.41176470588236
