recipe_id,ingredient_id,ingredient_name,category,unit,qty
214,1613, graham cracker crumbs ,cookies/crackers,gram(s),48.0
214,3334, sugar ,baking products,gram(s),6.0
214,2222, margarine or butter ,dairy,gram(s),12.0
214,2797, raspberry juice ,fruit juices,gram(s),6.0
214,3567, unflavored gelatin ,gelatin,gram(s),1.5
214,3334, sugar ,baking products,gram(s),16.080000000000002
214,1414, fresh raspberry ,fresh fruit,gram(s),24.0
214,2196, plain lowfat yogurt ,dairy,gram(s),24.0
214,924, cream of tartar ,baking products,gram(s),0.125
215,76, apricot halves packed in juice ,canned/bottled fruit,gram(s),101.5
215,3567, unflavored gelatin ,gelatin,package(s),0.25
215,2019, lemon juice ,fruit juices,gram(s),7.5
215,71, apricot brandy ,alcoholic beverages,gram(s),7.5
215,2196, plain lowfat yogurt ,dairy,gram(s),60.0
215,1286, fresh apricot ,fresh fruit,gram(s),60.0
216,1286, fresh apricot ,fresh fruit,gram(s),56.875
216,3567, unflavored gelatin ,gelatin,package(s),0.1875
216,3649, water ,beverages,gram(s),7.5
216,3334, sugar ,baking products,gram(s),20.1
216,2196, plain lowfat yogurt ,dairy,gram(s),60.0
217,792, confectioners' sugar ,baking products,gram(s),3.75
217,2019, lemon juice ,fruit juices,gram(s),1.25
217,1402, fresh peach ,fresh fruit,gram(s),120.0
218,614, cherry pie filling ,canned/bottled fruit,gram(s),101.5
218,34, almond extract ,spices and seasonings,gram(s),0.8333333333333334
218,2948, rolled oats ,cereals,gram(s),10.0
218,770, coconut ,fresh fruit,gram(s),10.0
218,30, all-purpose flour ,baking products,gram(s),5.0
218,351, brown sugar ,baking products,gram(s),5.0
218,1684, ground cinnamon ,spices and seasonings,gram(s),0.4166666666666667
218,374, butter or margarine ,dairy,gram(s),5.0
219,1137, regular nonfat dry milk ,powdered dairy,gram(s),5.625
219,3595, vanilla ,spices and seasonings,gram(s),0.625
219,3338, sugar substitute ,sweeteners,package(s),0.375
219,3567, unflavored gelatin ,gelatin,package(s),0.125
219,2960, rose wine ,alcoholic beverages,gram(s),30.0
219,3338, sugar substitute ,sweeteners,package(s),0.375
219,1373, fresh or frozen blueberries ,fresh fruit,gram(s),60.0
220,2048, light cream cheese ,dairy,gram(s),9.666666666666666
220,3357, sweet butter ,dairy,gram(s),3.75
220,3595, vanilla ,spices and seasonings,gram(s),0.4166666666666667
220,3586, unsweetened cocoa powder ,baking products,gram(s),3.75
220,2047, light cream ,dairy,gram(s),7.25
220,792, confectioners' sugar ,baking products,gram(s),50.0
220,2328, milk chocolate ,candy,gram(s),2.5
221,1363, fresh Northwest sweet cherries ,fresh fruit,gram(s),90.0
221,3582, unsweetened applesauce ,canned/bottled fruit,gram(s),20.1
221,3334, sugar ,baking products,gram(s),9.9
221,3567, unflavored gelatin ,gelatin,package(s),0.125
221,2019, lemon juice ,fruit juices,gram(s),0.625
221,1684, ground cinnamon ,spices and seasonings,gram(s),0.3125
221,1685, ground cloves ,spices and seasonings,gram(s),0.078125
222,3567, unflavored gelatin ,gelatin,package(s),0.3333333333333333
222,3649, water ,beverages,gram(s),20.0
222,1530, frozen raspberries in light syrup ,frozen fruit,gram(s),70.83333333333333
222,2196, plain lowfat yogurt ,dairy,gram(s),30.0
222,2460, orange rind ,fresh fruit,gram(s),0.4166666666666667
222,3334, sugar ,baking products,gram(s),20.0
223,2035, lemonade concentrate ,frozen juices/drinks,gram(s),17.4
223,3649, water ,beverages,gram(s),48.0
224,2537, part skim mozzarella cheese ,cheese,gram(s),4.833333333333333
224,2915, ricotta cheese ,cheese,gram(s),20.0
224,1604, golden raisins ,dried fruit,gram(s),10.0
224,3640, walnuts ,nuts and seeds,gram(s),5.0
224,1684, ground cinnamon ,spices and seasonings,gram(s),0.4166666666666667
224,1696, nutmeg ,spices and seasonings,gram(s),0.4166666666666667
224,2457, orange marmalade ,jams and jellies,gram(s),7.5
225,3334, sugar ,baking products,gram(s),24.900000000000002
225,889, cornstarch ,baking products,gram(s),3.75
225,1373, fresh or frozen blueberries ,fresh fruit,gram(s),180.0
225,2019, lemon juice ,fruit juices,gram(s),5.0
225,1351, fresh lemon peel ,fresh fruit,gram(s),1.25
225,1684, ground cinnamon ,spices and seasonings,gram(s),1.25
225,3021, salt ,spices and seasonings,gram(s),0.1625
225,1267, flour ,baking products,gram(s),60.0
225,3334, sugar ,baking products,gram(s),11.25
225,125, baking powder ,baking products,gram(s),1.875
225,1684, ground cinnamon ,spices and seasonings,gram(s),0.3125
225,3021, salt ,spices and seasonings,gram(s),0.3125
225,12, 2% lowfat milk ,dairy,gram(s),19.8
226,2253, apple ,fresh fruit,gram(s),60.0
226,3334, sugar ,baking products,gram(s),15.0
226,363, butter ,dairy,gram(s),1.875
226,738, cinnamon ,spices and seasonings,gram(s),0.15625
226,2426, nuts ,nuts and seeds,gram(s),7.5
226,3021, salt ,spices and seasonings,gram(s),0.3125
226,3118, shortening ,oils and fats,gram(s),7.5
226,3334, sugar ,baking products,gram(s),15.0
226,12, 2% lowfat milk ,dairy,gram(s),15.0
226,3595, vanilla ,spices and seasonings,gram(s),0.3125
226,1267, flour ,baking products,gram(s),30.0
226,125, baking powder ,baking products,gram(s),0.78125
227,2417, nonfat milk ,dairy,gram(s),30.0
227,889, cornstarch ,baking products,gram(s),1.875
227,3595, vanilla ,spices and seasonings,gram(s),0.9375
227,34, almond extract ,spices and seasonings,gram(s),0.3125
228,494, pitted cherries ,canned/bottled fruit,gram(s),80.0
228,612, cherry juice ,fruit juices,gram(s),25.0
228,3334, sugar ,baking products,gram(s),20.0
228,889, cornstarch ,baking products,gram(s),4.375
228,34, almond extract ,spices and seasonings,gram(s),0.20833333333333334
229,898, couscous ,grains,gram(s),15.0
229,3567, unflavored gelatin ,gelatin,package(s),0.1875
229,3649, water ,beverages,gram(s),15.0
229,60, apple juice ,frozen fruit,gram(s),60.0
229,3595, vanilla ,spices and seasonings,gram(s),0.3125
229,1684, ground cinnamon ,spices and seasonings,gram(s),0.3125
229,2796, raspberry ,fresh fruit,gram(s),21.75
230,3757, whole wheat bread ,breads,gram(s),90.0
230,1043, dried apricot halves ,dried fruit,gram(s),22.5
230,35, almonds ,nuts and seeds,gram(s),7.5
230,2417, nonfat milk ,dairy,gram(s),60.0
230,3334, sugar ,baking products,gram(s),15.0
230,3595, vanilla ,spices and seasonings,gram(s),0.3125
230,34, almond extract ,spices and seasonings,gram(s),0.3125
231,3334, sugar ,baking products,gram(s),9.375
231,1746, hazelnut extract ,spices and seasonings,gram(s),1.875
231,882, corn syrup ,sweeteners,gram(s),1.875
231,3649, water ,beverages,gram(s),0.9375
231,3021, salt ,spices and seasonings,gram(s),0.0203125
231,126, baking soda ,baking products,gram(s),0.15625
231,2472, Oregon hazelnuts ,nuts and seeds,gram(s),7.5
232,2647, cooked pink beans ,dried beans,gram(s),20.0
232,3118, shortening ,oils and fats,gram(s),10.0
232,3334, sugar ,baking products,gram(s),20.0
232,56, apple butter ,jams and jellies,gram(s),10.0
232,30, all-purpose flour ,baking products,gram(s),30.0
232,125, baking powder ,baking products,gram(s),0.8333333333333334
232,3021, salt ,spices and seasonings,gram(s),0.20833333333333334
232,1684, ground cinnamon ,spices and seasonings,gram(s),0.4166666666666667
232,1685, ground cloves ,spices and seasonings,gram(s),0.20833333333333334
232,1671, ground allspice ,spices and seasonings,gram(s),0.20833333333333334
232,2253, apple ,fresh fruit,gram(s),20.0
232,792, confectioners' sugar ,baking products,gram(s),80.0
232,374, butter or margarine ,dairy,gram(s),5.0
232,778, coffee ,hot beverages,gram(s),5.625
233,3595, vanilla ,spices and seasonings,gram(s),0.625
233,3334, sugar ,baking products,gram(s),7.5
234,3021, salt ,spices and seasonings,gram(s),0.15625
234,74, apricots in light syrup ,canned/bottled fruit,gram(s),116.0
234,35, almonds ,nuts and seeds,gram(s),7.5
234,78, apricot nectar ,fruit juices,gram(s),15.0
234,889, cornstarch ,baking products,gram(s),0.625
234,1696, nutmeg ,spices and seasonings,gram(s),0.1625
235,3437, Texas blueberries ,fresh fruit,gram(s),120.0
235,3334, sugar ,baking products,gram(s),30.0
235,2019, lemon juice ,fruit juices,gram(s),7.5
235,889, cornstarch ,baking products,gram(s),9.9
236,924, cream of tartar ,baking products,gram(s),0.10833333333333334
236,1696, nutmeg ,spices and seasonings,gram(s),0.10833333333333334
236,3334, sugar ,baking products,gram(s),26.8
236,1495, frozen cranberry juice ,frozen fruit,gram(s),29.0
236,3649, water ,beverages,gram(s),20.0
236,889, cornstarch ,baking products,gram(s),3.75
237,3118, shortening ,oils and fats,gram(s),10.0
237,2219, maple syrup ,sweeteners,gram(s),20.0
237,1267, flour ,baking products,gram(s),30.0
237,3021, salt ,spices and seasonings,gram(s),0.4166666666666667
237,125, baking powder ,baking products,gram(s),0.8333333333333334
237,12, 2% lowfat milk ,dairy,gram(s),5.0
237,2432, oatmeal ,cereals,gram(s),30.0
237,2788, raisins ,dried fruit,gram(s),10.0
237,2426, nuts ,nuts and seeds,gram(s),10.0
238,374, butter or margarine ,dairy,gram(s),12.5
238,3618, vegetable oil ,oils and fats,gram(s),3.3000000000000003
238,351, brown sugar ,baking products,gram(s),12.5
238,3334, sugar ,baking products,gram(s),12.5
238,3595, vanilla ,spices and seasonings,gram(s),0.5208333333333334
238,30, all-purpose flour ,baking products,gram(s),17.5
238,3759, whole wheat flour ,baking products,gram(s),7.5
238,768, cocoa ,baking products,gram(s),10.0
238,126, baking soda ,baking products,gram(s),0.3125
238,3021, salt ,spices and seasonings,gram(s),0.10416666666666667
238,2472, Oregon hazelnuts ,nuts and seeds,gram(s),25.0
239,3334, sugar ,baking products,gram(s),10.0
239,3649, water ,beverages,gram(s),40.0
239,882, corn syrup ,sweeteners,gram(s),5.2
239,2019, lemon juice ,fruit juices,gram(s),5.0
239,1615, Grand Marnier ,alcoholic beverages,gram(s),10.0
240,3334, sugar ,baking products,gram(s),15.0
240,889, cornstarch ,baking products,gram(s),5.625
240,3021, salt ,spices and seasonings,gram(s),0.0
240,3649, water ,beverages,gram(s),11.25
240,374, butter or margarine ,dairy,gram(s),2.5
240,2577, pecans ,nuts and seeds,gram(s),11.25
241,60, apple juice ,frozen fruit,gram(s),22.5
241,3334, sugar ,baking products,gram(s),15.0
241,60, apple juice ,frozen fruit,gram(s),15.0
241,324, brandy ,alcoholic beverages,gram(s),5.625
242,1267, flour ,baking products,gram(s),15.0
242,3334, sugar ,baking products,gram(s),15.0
242,2204, ground mace ,spices and seasonings,gram(s),0.15625
242,738, cinnamon ,spices and seasonings,gram(s),0.3125
242,374, butter or margarine ,dairy,gram(s),1.875
242,3334, sugar ,baking products,gram(s),1.875
243,1267, flour ,baking products,gram(s),4.705882352941177
243,126, baking soda ,baking products,gram(s),0.049019607843137254
243,3021, salt ,spices and seasonings,gram(s),0.049019607843137254
243,2220, margarine ,dairy,gram(s),1.1764705882352942
243,2043, light brown sugar ,baking products,gram(s),5.882352941176471
243,3595, vanilla ,spices and seasonings,gram(s),0.049019607843137254
