recipe_id,title,subtitle,protein,carbo,alcohol,total_fat,sat_fat,cholestrl,sodium,iron,vitamin_c,vitamin_a,fiber,pcnt_cal_carb,pcnt_cal_fat,pcnt_cal_prot,calories,ingredients
214,Raspberry Chiffon Pie,,5.47,41.29,0.0,11.53,2.21,1.39,260.78,0.81,8.89,586.2,0.87,56.8,35.68,7.53,290.79,"[924, 1414, 1613, 2196, 2222, 2797, 3334, 3334, 3567]"
215,Apricot Yogurt Parfaits,,5.7,23.75,1.93,1.08,0.58,3.48,46.17,0.57,13.02,2738.24,0.62,67.38,6.89,16.17,141.01,"[71, 76, 1286, 2019, 2196, 3567]"
216,Fresh Apricot Bavarian,,4.9,26.88,0.0,1.1,0.58,3.46,41.79,0.37,6.13,1521.1,0.34,78.45,7.24,14.3,137.06,"[1286, 2196, 3334, 3567, 3649]"
217,Fresh Peaches,with Banana Cream Whip,1.77,18.17,0.0,0.21,0.06,0.0,14.01,0.19,8.79,478.09,0.69,88.98,2.35,8.67,81.7,"[792, 1402, 2019]"
218,Canned Cherry Crisp,,1.38,36.63,0.0,5.47,3.46,10.36,50.22,0.66,0.16,229.16,1.05,72.81,24.46,2.73,201.23,"[30, 34, 351, 374, 614, 770, 1684, 2948]"
219,Low Calorie Blueberry Meringue Tarts,,3.38,8.04,2.7,0.16,0.01,0.55,40.01,0.18,4.9,37.26,0.47,48.72,2.18,20.5,66.03,"[1137, 1373, 2960, 3338, 3338, 3567, 3595]"
220,Chocolate Cream Cheese Frosting,,1.53,27.17,0.0,8.14,5.05,23.6,81.26,0.22,0.05,304.92,0.08,57.79,38.96,3.25,188.1,"[792, 2047, 2048, 2328, 3357, 3586, 3595]"
226,Apple Upside Down Cake,,3.71,43.21,0.0,11.92,2.7,31.59,231.95,0.56,1.76,140.75,0.66,58.59,36.37,5.04,294.95,"[12, 125, 363, 738, 1267, 2253, 2426, 3021, 3118, 3334, 3334, 3595]"
227,Peaches Amaretto,,2.53,12.71,0.0,0.13,0.04,0.55,29.49,0.12,6.04,527.67,0.56,81.78,1.94,16.28,62.16,"[34, 889, 2417, 3595]"
228,Homemade Cherry Pie Filling,,0.84,32.74,0.0,0.02,0.0,0.0,4.04,0.55,4.14,167.08,0.19,97.37,0.12,2.51,134.51,"[34, 494, 612, 889, 3334]"
