recipe_id,ingredient_id,ingredient_name,category,unit,qty
214,1613, graham cracker crumbs , cookies/crackers , cup(s) ,2.0
214,3334, sugar , baking products , cup(s) ,0.25
214,2222, margarine or butter , dairy , cup(s) ,0.5
214,2797, raspberry juice , fruit juices , cup(s) ,0.25
214,3567, unflavored gelatin , gelatin , teaspoon(s) ,3.0
214,3334, sugar , baking products , cup(s) ,0.67
214,1414, fresh raspberry , fresh fruit , cup(s) ,1.0
214,2196, plain lowfat yogurt , dairy , cup(s) ,1.0
214,924, cream of tartar , baking products , teaspoon(s) ,0.25
215,76, apricot halves packed in juice , canned/bottled fruit , 14 oz. can(s) ,1.0
215,3567, unflavored gelatin , gelatin , envelope(s) ,1.0
215,2019, lemon juice , fruit juices , tablespoon(s) ,2.0
215,71, apricot brandy , alcoholic beverages , tablespoon(s) ,2.0
215,2196, plain lowfat yogurt , dairy , cup(s) ,1.0
215,1286, fresh apricot , fresh fruit , cup(s) ,1.0
216,1286, fresh apricot , fresh fruit , pound(s) ,1.0
216,3567, unflavored gelatin , gelatin , envelope(s) ,1.5
216,3649, water , beverages , cup(s) ,0.25
216,3334, sugar , baking products , cup(s) ,0.67
216,2196, plain lowfat yogurt , dairy , cup(s) ,2.0
217,792, confectioners' sugar , baking products , tablespoon(s) ,1.0
217,2019, lemon juice , fruit juices , teaspoon(s) ,1.0
217,1402, fresh peach , fresh fruit , cup(s) ,2.0
218,614, cherry pie filling , canned/bottled fruit , 21 oz. can(s) ,1.0
218,34, almond extract , spices and seasonings , teaspoon(s) ,1.0
218,2948, rolled oats , cereals , cup(s) ,0.25
218,770, coconut , fresh fruit , cup(s) ,0.25
218,30, all-purpose flour , baking products , tablespoon(s) ,2.0
218,351, brown sugar , baking products , tablespoon(s) ,2.0
218,1684, ground cinnamon , spices and seasonings , teaspoon(s) ,0.5
218,374, butter or margarine , dairy , tablespoon(s) ,2.0
219,1137, regular nonfat dry milk , powdered dairy , tablespoon(s) ,3.0
219,3595, vanilla , spices and seasonings , teaspoon(s) ,1.0
219,3338, sugar substitute , sweeteners , packet(s) ,3.0
219,3567, unflavored gelatin , gelatin , envelope(s) ,1.0
219,2960, rose wine , alcoholic beverages , cup(s) ,1.0
219,3338, sugar substitute , sweeteners , packet(s) ,3.0
219,1373, fresh or frozen blueberries , fresh fruit , cup(s) ,2.0
220,2048, light cream cheese , dairy , ounce(s) ,4.0
220,3357, sweet butter , dairy , tablespoon(s) ,3.0
220,3595, vanilla , spices and seasonings , teaspoon(s) ,1.0
220,3586, unsweetened cocoa powder , baking products , tablespoon(s) ,3.0
220,2047, light cream , dairy , fl. ounce(s) ,3.0
220,792, confectioners' sugar , baking products , cup(s) ,2.5
220,2328, milk chocolate , candy , tablespoon(s) ,2.0
221,1363, fresh Northwest sweet cherries , fresh fruit , cup(s) ,3.0
221,3582, unsweetened applesauce , canned/bottled fruit , cup(s) ,0.67
221,3334, sugar , baking products , cup(s) ,0.33
221,3567, unflavored gelatin , gelatin , envelope(s) ,1.0
221,2019, lemon juice , fruit juices , teaspoon(s) ,1.0
221,1684, ground cinnamon , spices and seasonings , teaspoon(s) ,0.5
221,1685, ground cloves , spices and seasonings , dash(es) ,1.0
222,3567, unflavored gelatin , gelatin , envelope(s) ,2.0
222,3649, water , beverages , cup(s) ,0.5
222,1530, frozen raspberries in light syrup , frozen fruit , gram(s) ,425.0
222,2196, plain lowfat yogurt , dairy , cup(s) ,0.75
222,2460, orange rind , fresh fruit , teaspoon(s) ,0.5
222,3334, sugar , baking products , cup(s) ,0.5
223,2035, lemonade concentrate , frozen juices/drinks , 6 oz. can(s) ,1.0
223,3649, water , beverages , cup(s) ,2.0
224,2537, part skim mozzarella cheese , cheese , ounce(s) ,1.0
224,2915, ricotta cheese , cheese , cup(s) ,0.5
224,1604, golden raisins , dried fruit , cup(s) ,0.25
224,3640, walnuts , nuts and seeds , tablespoon(s) ,2.0
224,1684, ground cinnamon , spices and seasonings , teaspoon(s) ,0.5
224,1696, nutmeg , spices and seasonings , teaspoon(s) ,0.5
224,2457, orange marmalade , jams and jellies , tablespoon(s) ,3.0
225,3334, sugar , baking products , cup(s) ,0.41500000000000004
225,889, cornstarch , baking products , tablespoon(s) ,1.0
225,1373, fresh or frozen blueberries , fresh fruit , cup(s) ,3.0
225,2019, lemon juice , fruit juices , teaspoon(s) ,4.0
225,1351, fresh lemon peel , fresh fruit , teaspoon(s) ,1.0
225,1684, ground cinnamon , spices and seasonings , teaspoon(s) ,1.0
225,3021, salt , spices and seasonings , teaspoon(s) ,0.13
225,1267, flour , baking products , cup(s) ,1.0
225,3334, sugar , baking products , tablespoon(s) ,3.0
225,125, baking powder , baking products , teaspoon(s) ,1.5
225,1684, ground cinnamon , spices and seasonings , teaspoon(s) ,0.25
225,3021, salt , spices and seasonings , teaspoon(s) ,0.25
225,12, 2% lowfat milk , dairy , cup(s) ,0.33
226,2253, apple , fresh fruit , cup(s) ,4.0
226,3334, sugar , baking products , cup(s) ,1.0
226,363, butter , dairy , tablespoon(s) ,2.0
226,738, cinnamon , spices and seasonings , teaspoon(s) ,0.5
226,2426, nuts , nuts and seeds , cup(s) ,0.5
226,3021, salt , spices and seasonings , teaspoon(s) ,1.0
226,3118, shortening , oils and fats , cup(s) ,0.5
226,3334, sugar , baking products , cup(s) ,1.0
226,12, 2% lowfat milk , dairy , cup(s) ,1.0
226,3595, vanilla , spices and seasonings , teaspoon(s) ,1.0
226,1267, flour , baking products , cup(s) ,2.0
226,125, baking powder , baking products , teaspoon(s) ,2.5
227,2417, nonfat milk , dairy , cup(s) ,0.5
227,889, cornstarch , baking products , teaspoon(s) ,1.5
227,3595, vanilla , spices and seasonings , teaspoon(s) ,0.75
227,34, almond extract , spices and seasonings , teaspoon(s) ,0.25
228,494, pitted cherries , canned/bottled fruit , cup(s) ,4.0
228,612, cherry juice , fruit juices , cup(s) ,1.25
228,3334, sugar , baking products , cup(s) ,1.0
228,889, cornstarch , baking products , tablespoon(s) ,3.5
228,34, almond extract , spices and seasonings , teaspoon(s) ,0.5
229,898, couscous , grains , cup(s) ,1.0
229,3567, unflavored gelatin , gelatin , envelope(s) ,3.0
229,3649, water , beverages , cup(s) ,1.0
229,60, apple juice , frozen fruit , cup(s) ,4.0
229,3595, vanilla , spices and seasonings , teaspoon(s) ,1.0
229,1684, ground cinnamon , spices and seasonings , teaspoon(s) ,1.0
229,2796, raspberry , fresh fruit , pint(s) ,1.0
230,3757, whole wheat bread , breads , cup(s) ,3.0
230,1043, dried apricot halves , dried fruit , cup(s) ,0.75
230,35, almonds , nuts and seeds , cup(s) ,0.25
230,2417, nonfat milk , dairy , cup(s) ,2.0
230,3334, sugar , baking products , cup(s) ,0.5
230,3595, vanilla , spices and seasonings , teaspoon(s) ,0.5
230,34, almond extract , spices and seasonings , teaspoon(s) ,0.5
231,3334, sugar , baking products , cup(s) ,1.25
231,1746, hazelnut extract , spices and seasonings , cup(s) ,0.25
231,882, corn syrup , sweeteners , cup(s) ,0.25
231,3649, water , beverages , tablespoon(s) ,2.0
231,3021, salt , spices and seasonings , teaspoon(s) ,0.13
231,126, baking soda , baking products , teaspoon(s) ,1.0
231,2472, Oregon hazelnuts , nuts and seeds , cup(s) ,1.0
232,2647, cooked pink beans , dried beans , cup(s) ,1.0
232,3118, shortening , oils and fats , cup(s) ,0.5
232,3334, sugar , baking products , cup(s) ,1.0
232,56, apple butter , jams and jellies , cup(s) ,0.5
232,30, all-purpose flour , baking products , cup(s) ,1.5
