ingredient_id,category,name,vegCategory,Protein,Protein_unit,"Fiber, total dietary","Fiber, total dietary_unit","Iron, Fe","Iron, Fe_unit","Vitamin A, RAE","Vitamin A, RAE_unit",Vitamin B-12,Vitamin B-12_unit,Energy,Energy_unit,"Fatty acids, total monounsaturated","Fatty acids, total monounsaturated_unit",Cholesterol,Cholesterol_unit
38, alcoholic beverages , amaretto ,vegan,0.0,G,0.0,G,0.0,MG,,,,,233.0,KCAL,3.33,G,0.0,MG
68, alcoholic beverages , applejack ,vegan,0.0,G,0.0,G,0.04,MG,0.0,UG,0.0,UG,231.0,KCAL,0.0,G,0.0,MG
71, alcoholic beverages , apricot brandy ,vegan,0.0,G,0.0,G,0.04,MG,0.0,UG,0.0,UG,231.0,KCAL,0.0,G,0.0,MG
196, alcoholic beverages , beer ,vegan,0.46,G,0.0,G,0.02,MG,0.0,UG,0.02,UG,43.0,KCAL,0.0,G,0.0,MG
313, alcoholic beverages , bourbon whiskey ,vegan,0.0,G,0.0,G,0.04,MG,0.0,UG,0.0,UG,231.0,KCAL,0.0,G,0.0,MG
324, alcoholic beverages , brandy ,vegan,0.0,G,0.0,G,0.04,MG,0.0,UG,0.0,UG,231.0,KCAL,0.0,G,0.0,MG
391, alcoholic beverages , Cabernet Sauvignon wine ,vegan,0.07,G,,,,,,,,,83.0,KCAL,,,,
410, alcoholic beverages , Calvados ,vegan,14.3,G,0.4,G,0.0,MG,,,,,339.0,KCAL,,,71.0,MG
571, alcoholic beverages , cassis liqueur ,vegan,0.0,G,0.0,G,0.07,MG,0.0,UG,0.0,UG,371.0,KCAL,0.015,G,0.0,MG
595, alcoholic beverages , Champagne ,vegan,0.16,G,0.1,G,0.25,MG,0.0,UG,0.0,UG,128.0,KCAL,0.006,G,0.0,MG
600, alcoholic beverages , chardonnay wine ,vegan,0.07,G,0.0,G,0.27,MG,,,0.0,UG,84.0,KCAL,,,,
700, alcoholic beverages , Chinese rice wine ,vegan,0.5,G,0.0,G,0.1,MG,0.0,UG,0.0,UG,134.0,KCAL,0.0,G,0.0,MG
752, alcoholic beverages , claret wine ,vegan,0.07,G,,,,,,,,,348.0,kJ,,,,
779, alcoholic beverages , cognac ,vegan,3.57,G,7.1,G,7.14,MG,,,,,536.0,KCAL,,,0.0,MG
862, alcoholic beverages , cooking wine ,vegan,0.0,G,,,,,,,,,67.0,KCAL,,,,
927, alcoholic beverages , cream sherry ,vegetarian,0.0,G,0.0,G,,,,,,,0.0,KCAL,,,0.0,MG
998, alcoholic beverages , dark rum ,vegan,0.0,G,0.0,G,0.04,MG,0.0,UG,0.0,UG,231.0,KCAL,0.0,G,0.0,MG
1128, alcoholic beverages , dry dessert wine ,vegan,0.2,G,0.0,G,0.24,MG,0.0,UG,0.0,UG,152.0,KCAL,0.0,G,0.0,MG
1141, alcoholic beverages , dry red wine ,vegan,0.07,G,0.0,G,0.46,MG,0.0,UG,0.0,UG,85.0,KCAL,0.0,G,0.0,MG
1147, alcoholic beverages , dry sherry ,vegan,12.3,G,12.5,G,2.46,MG,0.0,UG,0.0,UG,342.0,KCAL,0.173,G,0.0,MG
1153, alcoholic beverages , dry vermouth ,vegan,12.3,G,12.5,G,2.46,MG,0.0,UG,0.0,UG,342.0,KCAL,0.173,G,0.0,MG
1155, alcoholic beverages , dry white wine ,vegan,0.07,G,0.0,G,0.27,MG,0.0,UG,0.0,UG,82.0,KCAL,0.0,G,0.0,MG
1561, alcoholic beverages , fruity red wine ,vegan,0.07,G,0.0,G,0.46,MG,0.0,UG,0.0,UG,85.0,KCAL,0.0,G,0.0,MG
1562, alcoholic beverages , fruity zinfandel ,vegan,0.07,G,,,,,,,,,369.0,kJ,,,,
1592, alcoholic beverages , gin ,vegan,0.0,G,0.0,G,0.04,MG,0.0,UG,0.0,UG,231.0,KCAL,0.0,G,0.0,MG
1615, alcoholic beverages , Grand Marnier ,vegan,0.0,G,5.9,G,0.0,MG,,,,,235.0,KCAL,,,0.0,MG
1856, alcoholic beverages , Italian red wine ,vegan,0.07,G,0.0,G,0.46,MG,0.0,UG,0.0,UG,85.0,KCAL,0.0,G,0.0,MG
1909, alcoholic beverages , kirsch ,vegan,0.0,G,0.0,G,0.07,MG,0.0,UG,0.0,UG,371.0,KCAL,0.015,G,0.0,MG
